object_id,lmax,error
1444,16,3.584374086106146
1444,20,3.1327652147884706
1444,24,2.8648004828904656
1444,28,2.6454594086013787
1444,32,2.465975248830478
1444,36,2.299953249095176
1829,4,7.593160320842417
1829,8,4.364832538669143
1829,12,3.3872139042685174
1829,16,2.91196883753116
1829,20,2.490833252535532
1829,24,2.249787041048562
1829,28,2.1829183115303166
1829,32,2.016769721573399
1829,36,1.890166193201482
3892,4,7.22600709333048
3892,8,4.325212320147542
3892,12,3.298094764287155
3892,16,2.8191960545494634
3892,20,2.4574723053895875
3892,24,2.2342115167249377
3892,28,2.117218656263041
3892,32,2.0030266388010016
3892,36,1.889370591803606
308,4,6.125446424896863
308,8,3.783684048869231
308,12,3.0159887572313036
308,16,2.6516732500505875
308,20,2.300337525334961
308,24,2.0581090136982363
308,28,1.9399399101088513
308,32,1.8139253447011383
308,36,1.7213900482125113
877,4,6.909701528932588
877,8,4.221850687969206
877,12,3.233349415940394
877,16,2.7444297593025375
877,20,2.408275820364891
877,24,2.213658391945972
877,28,2.053444152282356
877,32,1.9048941920005875
877,36,1.802943415302386
3261,4,6.236147296849798
3261,8,3.8591564938056546
3261,12,3.0546010245528508
3261,16,2.589292851094598
3261,20,2.312076256518922
3261,24,2.1359763217281755
3261,28,1.971852328717923
3261,32,1.8601242442746722
3261,36,1.7645245621019956
537,4,6.975282024172439
537,8,4.080931058386662
537,12,3.244178635035536
537,16,2.751295996784672
537,20,2.4778717390965
537,24,2.227665267126553
537,28,2.0266960608945426
537,32,1.9137992384181237
537,36,1.8268048660383378
6669,4,10.395546112806766
6669,8,5.9190346512307705
6669,12,4.340346395433409
6669,16,3.6602217942175326
6669,20,3.13901664685837
6669,24,2.835525173459254
6669,28,2.638815340989939
6669,32,2.4523660408638035
6669,36,2.308648718894946
1020,4,6.764615579662311
1020,8,4.188376604471678
1020,12,3.2732767338893707
1020,16,2.893513798122509
1020,20,2.50120308704356
1020,24,2.1824238561718685
1020,28,2.0465999910723633
1020,32,1.9351450753152055
1020,36,1.824675649390524
3110,4,7.775492976917937
